,freq,MAP,expected_Cnet_eller
113,0.15000000000000002,1900,3.1447297275073534e-05
114,0.20000000000000004,1900,3.254221473872097e-05
115,0.25000000000000006,1900,3.300999284274144e-05
116,0.30000000000000004,1900,3.321589573998717e-05
117,0.3500000000000001,1900,3.330929431519405e-05
118,0.40000000000000013,1900,3.335318946669539e-05
119,0.45000000000000007,1900,3.33747569012497e-05
120,0.1,2000,2.8865342835952548e-05
121,0.15000000000000002,2000,3.150761991727584e-05
122,0.20000000000000004,2000,3.2579792847621975e-05
123,0.25000000000000006,2000,3.3031782612053636e-05
124,0.30000000000000004,2000,3.322813445964849e-05
125,0.3500000000000001,2000,3.3316123664554295e-05
126,0.40000000000000013,2000,3.335705214661107e-05
127,0.45000000000000007,2000,3.337701161082514e-05
